"text","concept","organization","pred_concept","concept_predprob","pred_organization"
"The Government will always defend the principle that workers should be able to withdraw their labour.","JUST","Conservatives","JUST","1.0000","Conservatives"
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"All that we are saying is that, in certain services in these important sectors, the right to strike must be balanced against the needs of the public to rely on a basic level of life-saving care.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"The legislation simply brings us into line, as my hon. Friend just said, with many other modern European nations, such as Spain, Italy, France and Ireland.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"The International Labour Organisation itself states that minimum service levels can be a proportionate way of balancing the right to strike with the need to protect the wider public.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"On the claim of minimum safety levels across Europe, is the Secretary of State aware that, according to the OECD, France lost, on average, 112 days per 1,000 workers between 2008 and 2018? Spain lost 76 strike days, and Italy lost 42. Yet the UK lost only 20 strike days.","COMPAR","Labour and Co-op","COMPAR","1.0000","Labour and Co-op"
"As I have explained a number of times, we have seen in recent months a flare-up of strikes that are putting people’s lives and livelihoods at risk.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservatives"
"It is the minimal standards that the public needs.","RELATE","Conservatives","RELATE","0.9999","Conservatives"
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.","RELATE","Conservatives","RELATE","1.0000","Conservatives"
"We are mindful of and thankful for the contribution of public service workers in this country, but where unions insist on disproportionate and sometimes plain unsafe levels of industrial action without informing the NHS, for example, and others, we must take the necessary steps to protect the public.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"We said in our manifesto, and I repeat now, that it is not fair to let trade union leaders undermine the livelihoods of others, and nor is it fair for them to put lives and livelihoods at risk.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"In this Second Reading debate, we are simply asking the unions to tell us when they are going to withdraw their labour so that we can agree a minimum safety level.","RIGHTS","Conservatives","RIGHTS","1.0000","Conservatives"
"It is just a common-sense safety net to keep the public safe and ease some of the enormous anxiety that they have felt over the last few months.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"Failing to support the Bill today will mean that Members who oppose this legislation are essentially prepared to put the safety and welfare of their own constituents at risk.","PHYSICAL","Conservatives","PHYSICAL","1.0000","Conservatives"
"Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.","JUST","Labour","JUST","1.0000","Labour"
"Will my good friend remind the House that section 240 of the Trade Union and Labour Relations (Consolidation) Act 1992 guarantees that trade unions will agree to provide life-and-limb cover during an industrial dispute, because failure to do so could result in a custodial sentence?","LEGAL","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"We all want minimum standards of safety, service and staffing levels, and we want them every day, but it is the Minister who is failing to provide them. Instead of holding them to account, they Government are seeking through this Bill to grab sweeping new powers to impose burdens on employers and to remove basic rights from workers across our public service.","RIGHTS","Labour","RIGHTS","1.0000","Labour"
"If the Secretary of State for Transport mandates that 50% of trains need to run on strike days, he knows that Network Rail will mandate that all signal operators need to work, because signals are needed even if just two trains are running. How can the Secretary of State for Business, Energy and Industrial Strategy say this Bill does not remove their right to strike?","AUTONOMY","Labour","AUTONOMY","1.0000","Labour"
"I know many Conservative Members will say that they respect, even champion, civil liberties, and I am sure they mean it, but with this Bill they are burning the freedoms for which we fought for centuries and are handing to Ministers unprecedented power over the individuals who are targeted.","JUST","Conservatives","JUST","1.0000","Conservatives"
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"This Bill also makes no provision for the compensatory measures the ILO requires alongside such regulations.","RIGHTS","Labour","RIGHTS","1.0000","Labour"
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.","JUST","Labour","JUST","1.0000","Labour"
"At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.","JUST","Conservatives","RIGHTS","0.9995","Conservatives"
"The public expect that, and the Government have a responsibility to oversee that and ensure that these levels of services help to protect and safeguard lives, keep our country safe, support the economy and ensure that the British public—the silent, hard-working majority—can go about living their lives in the way that we all want to see.","RELATE","Conservatives","RELATE","1.0000","Conservatives"
"Obviously, the current wave of strikes and industrial action is concerning the public, it is also counterproductive when it comes to delivering public services.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservatives"
"It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservatives"
"We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight margins—not glitzy corporations—now suffering because of the strikes.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservatives"
"It is reform that we should be talking about today—reform that can lead to better public service delivery, changes to our laws—","RIGHTS","Conservatives","RIGHTS","0.9816","Conservatives"
"Importantly, I wish to press the Government to consider widening the list of sectors where minimum service standards are needed.","RELATE","Conservatives","RELATE","1.0000","Conservatives"
"I wish to ask the Government to ensure that they always look to keep legislation and measures open and under review, so that we can continue to uphold standards to protect the public going about their daily lives.","RIGHTS","Conservatives","RIGHTS","1.0000","Conservatives"
"The legislation is nothing more than an attack on democracy—an attack on the rights of workers to withdraw their labour, and a further attack on devolution.","LEGAL","Scottish National Party","AUTONOMY","0.9302","Scottish National Party"
"It also seems that this legislation is in breach of article 11 of the European convention on human rights, especially with regard to proportionate action.","LEGAL","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"Richard Arthur, head of trade union law at Thompsons Solicitors, said the Bill raised,

“very serious legal question marks”,

and anticipates legal challenges under article 11 of the ECHR and convention 87 of the International Labour Organisation.","LEGAL","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.","POWER","Scottish National Party","POWER","1.0000","Scottish National Party"
"Allowing employers to decide who has to work on notified strike days clearly infringes on workers’ rights to withdraw labour.","JUST","Scottish National Party","RIGHTS","0.8335","Conservatives"
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.","POWER","Scottish National Party","POWER","1.0000","Scottish National Party"
"It also ignores the fact that section 240 of the 1992 Act, as my hon. Friend the Member for Glasgow South West (Chris Stephens) keeps saying, allows for preserving life and limb, and that unions have their own practices to comply with that legislation.","LEGAL","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"It also shows an astonishing level of incompetence to bring in legislation that potentially allows them to sack essential workers in vital sectors where there is already a shortage of skilled workers.","POWER","Scottish National Party","POWER","1.0000","Scottish National Party"
"The objective of the Bill is absolutely right: we have to balance the right to strike with the right of people to go about their way of life.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"Unison and GMB told me that they limited strike action to six or 12 hours instead of 24 hours, that there were procedures for bringing workers back from the picket line if they were needed on the ward, and that they monitored call volumes in real time to ensure that patients were kept safe.","COLLECT","Labour","COLLECT","1.0000","Labour"
"I understand the value of a trade union—I understand that workers may want to organise to protect pay and working conditions—but what we are seeing is hard-left leaders and militant trade unions taking advantage of economic difficulty to instigate what is effectively a rolling general strike. When those actions put lives at risk, we Conservatives know that we must take action.","COLLECT","Conservatives","COLLECT","1.0000","Conservatives"
"If the trade unions offer a safe level of service at the very least, there is no need to have a minimum service level.","COLLECT","Conservatives","COLLECT","0.9938","Conservatives"
"The Government are on a mission to take power from the people, with restrictions on the right to protest, restrictions on democracy with voter ID, the removal of huge chunks of human rights through their Retained EU Law (Revocation and Reform) Bill—that will scrap more than 4,000 pieces of legislation, many of which cover the basic rights of people in this country—and now this disgraceful attempt to criminalise workers taking legitimate industrial action.","JUST","Labour","JUST","1.0000","Labour"
" As with most of this Government’s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket lines—although everyone here knows that I never have and never will cross a picket line.","JUST","Labour","JUST","1.0000","Labour"
"The Government should be negotiating, not legislating.","RIGHTS","Labour","RIGHTS","0.8469","Scottish National Party"
"If we attack the trade unions, which are made up of members who are workers, then we are attacking the workers.","POWER","Labour","POLIT","0.9771","Labour Party"
"The Bill is part of the Government’s plan to restrict all our rights and to demonise and criminalise those who are just trying to survive.","JUST","Labour","JUST","1.0000","Labour"
"I know from first-hand experience the amazing work that trade unions do in representing their members in the workplace.","COLLECT","Labour","COLLECT","1.0000","Labour"
"The fact is that minimum service levels do not stop strikes in Europe.","COMPAR","Labour","COMPAR","1.0000","Labour"
"These are negotiated between the unions and the employers.","COLLECT","Labour","RELATE","0.9318","Labour"
"They ensured there was a mutual voluntary agreement not through legislation, but through negotiation—something that we all know happens right the way through the public sector.
","COLLECT","Labour","COLLECT","1.0000","Labour"
"The right to strike is embedded in international law, most notably in article 11 of the European convention on human rights.","LEGAL","Conservatives","LEGAL","1.0000","Conservatives"
"The disingenuousness comes from making comparisons with other nations under ILO regulations, which clearly have a completely different context.","COMPAR","Labour","COMPAR","1.0000","Labour"
"The Opposition will have to say why all those comparable states, which go much further than us, are somehow acting lawfully, yet we are not.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.","POWER","Labour","POWER","1.0000","Labour"
"Ministers are trying to have power over Parliament—that is all the Bill is about—and to encourage employers to have power over workers.","POWER","Labour","POWER","1.0000","Labour"
"If the Government are serious about having minimum service levels, and if they are serious about negotiating, which nobody in the Government seems able to do, they should agree to compulsory arbitration or mediation to resolve disputes, but they are not interested in that.","CREATE","Labour","CREATE","1.0000","Labour"
"I say to the Government, however, that the public are not stupid and they see what the Government are doing by trying to take away their rights at every single level, including the right to protest and the right to vote.","JUST","Labour","JUST","1.0000","Labour"
"We see what the Government are doing and we will stand up and stop them at every opportunity.
","POLIT","Labour","JUST","0.8621","Labour"
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"Hard-working union members who feel pressured to strike, who believe that eight days of strikes in quick succession is too much, or who do not agree with having six days to respond to a ballot referendum instead of the standard 14, want the situation tempered and want their needs and rights to be recognised, rather than the ideological ones of trade unions.","COLLECT","Conservatives","COLLECT","1.0000","Conservatives"
"I wonder what the hundreds of thousands of teachers who just voted to go on strike against his abominable Government think about being called political pawns, when they are striking to look after our children.","POLIT","Labour","POLIT","1.0000","Labour"
"The restrictive anti-trade union legislation they pushed through in 2016 clearly was not enough for them, so now we see an unprecedented attack that will undermine the most basic of workers’ rights—the right to withdraw labour.","JUST","Scottish National Party","JUST","1.0000","Scottish National Party"
"The right to strike is essential for fairness in negotiations with employers and to protect workers from having appalling pay and conditions imposed on them.","JUST","Scottish National Party","JUST","0.9998","Scottish National Party"
"It is what differentiates modern Europe from the medieval serfdoms of the past.","COMPAR","Scottish National Party","COMPAR","1.0000","Scottish National Party"
"We saw them illegally prorogue Parliament and push through Brexit, and now we see plans for a bonfire of thousands of EU regulations that protect our rights.","LEGAL","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"They do not have unspecified minimum service levels imposed on them by an Executive, as this Bill would enable this Government to do.","COMPAR","Scottish National Party","COMPAR","1.0000","Scottish National Party"
"They are striking for the very future of public services, which they witness being run into the ground.","ECONOMIC","Scottish National Party","ECONOMIC","1.0000","Scottish National Party"
"They are protecting the cohesion of our communities, the standards of living we should all be able to enjoy and the rights of all workers.","JUST","Scottish National Party","JUST","1.0000","Scottish National Party"
"I stand in solidarity with them, and I will always fight to protect the right to strike from irresponsible attacks such as this.","JUST","Scottish National Party","JUST","1.0000","Scottish National Party"
"It is fair and reasonable, and I always come back to the theme of being fair and reasonable, to suggest that some of this legislation—and I will be supporting the Bill—is about making sure there is a correct balance between those in the unions who wish to strike and those, who are a majority of my electorate, who continue either to run their own small companies or to work in smaller industries that rely on public services, such as the railway network.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"Lutonians have written to me concerned about the plans to restrict their right to strike not just for themselves, but for the services they rely on.","JUST","Labour","JUST","1.0000","Labour"
"This is a debate about the balance of rights, and balancing the right to strike of our constituents who work in essential public services with the rights of our other constituents, and their right to get to work, to school, to have their operation, and even in the case of blue-light services, their right to life.","BALANC","Conservatives","BALANC","1.0000","Conservatives"
"It is certainly not an attack on public sector workers, and suggestions otherwise from Labour Members are both disgusting and an attempt to stifle genuine debate.","JUST","Conservatives","JUST","1.0000","Conservatives"
"The Labour party would have us believe that this is some outrageous attack on workers’ rights—“political violence”, said the hon. Member for Jarrow (Kate Osborne)—and something that no civilised country could possibly contemplate. No civilised country other than Spain, Italy, Germany, France, or indeed the United States, Australia and Canada, which in some areas have an outright ban on strikes in blue-light services. Normally, Opposition Members idolise Europe’s approach to employment rights, but on the issue of minimum services they are keeping very quiet.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"“but regret that the measures in the Gracious Speech fail to ensure that those who put in a hard day’s work get a decent reward for doing so, or cut the costs to the social security system resulting from the current record 5.2 million workers on low pay and the rising tide of insecurity at work, and call on your Government to bring forward measures setting the Low Pay Commission a five year target to raise the National Minimum Wage faster than average earnings while retaining the capacity to take account of shocks to the economy.”.","RIGHTS","Parliament","RIGHTS","1.0000","Parliament"
"However, I rise to speak to Amendment 335, standing in my name, which would introduce a sunset clause ensuring that the Act will expire after three years unless the Secretary of State demonstrates that it has led to a net increase in employment. I do so against a background of economic data emerging in recent months painting a deeply concerning picture of the UK labour market. The UK’s jobless rate ticked up to 4.6% in April, while payrolled employment has fallen sharply, according to official figures covering the period when the Budget tax hikes on businesses came into effect.
","","Conservatives","","1.0000","Conservatives"
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.
","ECONOMIC","Labour","ECONOMIC","1.0000","Labour"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ","RIGHTS","Labour","RIGHTS","1.0000","Labour"
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.","BALANC","Labour","BALANC","1.0000","Labour"
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservatives"
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society","ECONOMIC","University of Cambridge","ECONOMIC","1.0000","University of Cambridge"
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.
","ACCESS","Labour","ACCESS","1.0000","Labour"
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?","CREATE","Labour","CREATE","1.0000","Labour"
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.","ACCESS","Labour","ACCESS","1.0000","Labour"
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.","BALANC","Labour","BALANC","1.0000","Labour"
"The Government’s plan to make work pay is a core part of our mission to grow the economy, raise living standards across the country and create opportunities for all. It will tackle the low pay, poor working conditions and poor job security that have been holding our economy back. The Bill is the first phase of delivering our plan to make work pay, supporting employers, workers and unions by raising the minimum floor of employment rights, raising living standards across the country and levelling the playing field for those businesses that are engaged in good practice.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation","RIGHTS","Labour Party","RIGHTS","1.0000","Labour"
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.","BALANC","Labour Party","BALANC","1.0000","Labour"
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservatives"
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society","ECONOMIC","University of Cambridge","ECONOMIC","1.0000","University of Cambridge"
"Amendments in relation to the rights in clauses 2 and 3 to reasonable notice of shifts and payment for short-notice cancellation, curtailment and movement of shifts will ensure that the rights work appropriately for workers whose contracts specify the timing of at least some of their shifts, provide that a worker is entitled to a payment from their employer only for a shift cancelled, moved or curtailed at short notice if they reasonably believed they would be needed to work the shift, and allow employers to disclose personal information about a worker in notices of exceptions, where appropriate and in accordance with data protection law, and ensure that the usual burden of proof applies where it is alleged that such a notice is untrue.","ENFORCE","Labour Party","ACCESS","1.0000","Labour"
"The tightening up that he proposes is very welcome. When does he think he will set out the detail—[Interruption.] When will he set out the detail of, for example, the period of time that someone must work before being offered a zero-hours contract?","CREATE","Labour Party","CREATE","1.0000","Labour"
"Our measures on guaranteed hours, reasonable notice of shifts, and payment for short-notice cancellations seek to ensure that workers, often in fragmented sectors with little voice of their own, do not bear all the risk of uncertain demand.","POWER","Labour Party","ACCESS","1.0000","Labour"
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.","BALANC","Labour Party","BALANC","1.0000","Labour"
"Like the other workers covered by this part of the Bill, agency workers deserve a baseline of security and access to a contract that reflects their regular hours. ","JUST","Labour Party","JUST","1.0000","Labour Party"
"We are keen not to see a wholesale shift from directly engaged workers to agency workers as a way for employers to avoid the zero-hours provisions in the Bill.
","DETER","Labour Party","DETER","1.0000","Labour"
"New clause 32, new schedule 1 and associated amendments will narrow the broad power currently in the Bill and instead include provisions for similar rights to be extended to agency workers. Hirers, agencies and agency workers can then be clear where responsibilities will rest in relation to the new rights.","COMPL","Labour Party","COMPL","1.0000","Labour Party"
"These amendments reflect the call for clarity from stakeholders in their response to the Government’s public consultation on this issue.","COMPL","Labour Party","COMPL","1.0000","Conservative Party"
"regulations that achieve the policy objective of extending rights to agency workers without unintended consequences for employment agencies and hirers—and we will work on that in due course.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"This Bill will help employers to raise standards in relation to these practices, so that the vast majority of businesses that do the right thing by their workers will no longer be undercut by those with low standards.
","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"It is the Government’s intention to end the unscrupulous use of fire and rehire. We are proposing technical amendments that allow the clause to work as intended to provide those protections.","JUST","Labour Party","JUST","1.0000","Labour Party"
"They ensure that, once the provisions of the Bill that make unfair dismissal a day one right come into force, the automatic unfair dismissal protections from unscrupulous fire and rehire practices will apply once the employee starts work","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"This brings the provision in line with other changes to unfair dismissal.","LEGAL","Labour Party","ADEQ","0.9870","Labour Party"
"These amendments also make it clear that the person will be protected from fire and rehire when they are dismissed and then rehired to do exactly the same job as they were doing previously, but on worse conditions.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"Clause 25 will modernise the collective redundancy framework to ensure that it works for employees and employers alike","BALANC","Labour Party","BALANC","1.0000","Labour Party"
" so the changes proposed would ensure that this clause extends protections for employees while limiting burdens for employers.","BALANC","Labour Party","BALANC","0.9868","Labour Party"
" This will happen after we have consulted, ensuring that it balances the needs of a growing business with the interests of employees.","BALANC","Labour Party","BALANC","1.0000","Conservative Party"
"The Government’s intention is to ensure that it is more difficult for a small and unscrupulous minority of employers to ignore their collective redundancy obligations, as we have seen in recent years.","DETER","Labour Party","DETER","1.0000","Labour Party"
"They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"We will publish a new code of practice to guide employers on their collective consultation obligations and promote the way good employers are working with their employees to arrive at mutually beneficial outcomes, so that all businesses are required to do the same.","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
