"text","concept","organization","pred_concept","concept_predprob","pred_organization"
"Just as the workplace has evolved and improved since that time, so the trade unions and the laws that govern them have developed too. I hope that, in 2015, no one would argue for the return of the closed shop, the show-of-hands votes in dimly lit car parks or the wildcat walk-outs enforced by a handful of heavies.  That is why the Labour Government repealed not a single piece of union legislation during their 13 years in power. Now it is time for Britain�s unions to take the next step, and the Bill will help to achieve just that.
","COMPAR","Conservative Party","POWER","1.0000","Labour Party"
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.","PHYSICAL","Conservative Party","RELATE","1.0000","Conservatives"
"The reforms before us will help and support regular union members who come up against the worst excesses of those on the left who put firebrand politics first.
","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.","BALANC","Labour","BALANC","1.0000","Labour"
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.","COMPAR","Conservatives","COMPAR","1.0000","Conservatives"
"No party can claim to be representative of workers when they attack the workers� very own institutions�the trade unions.","AUTONOMY","Labour Party","POLIT","0.9998","Labour Party"
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
","BALANC","Conservatives","BALANC","1.0000","Conservative Party"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ","RIGHTS","Labour","RIGHTS","0.9966","Labour Party"
"To cut back facility time would rob people of the ability to have a friend in the world of work that they can count on at a time of need.","ACCESS","Labour Party","AUTONOMY","0.9998","Labour Party"
"My Liberal Democrat colleagues and I are also pushing for an amendment to make caring a protected characteristic.","RIGHTS","Liberal Democrats","JUST","1.0000","Liberal Democrats"
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.","COMPAR","Conservatives","ADEQ","1.0000","Conservative Party"
" my simple question is: why not deal with that through a general anti-intimidation law rather than a specific union law?","CREATE","Conservative Party","REPLIC","1.0000","Labour Party"
"The Bill, which has been bodged both in Committee and today, has been put together simply to assuage the union paymasters that fund so many Labour Members.","POLIT","Conservative Party","ADEQ","1.0000","Labour Party"
"I ask all Members to vote against this most pernicious, partisan and overtly political Bill, which is one of the most objectionable that I have seen in my time in the House.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.","LEGAL","Conservatives","REPLIC","0.9126","Labour Party"
"But does the hon. Gentleman accept that those strikes have tripled since the Tories took over in London in 2008? It is an absolute disgrace that the Mayor of London has never sat down and met the trade unions and treated them as though they were equal partners or human beings in the same race.","RELATE","Labour Party","AUTONOMY","1.0000","Labour Party"
"The truth is, however, that the legislation will not make any difference. The ballots held by ASLEF and the National Union of Rail, Maritime and Transport Workers have huge turnouts, and their members are expressing legitimate concerns about safety and manning levels that many of the travelling public share. I do not know whether the hon. Gentleman has used the tube recently, but the stations are being denuded of the human beings who used to be there to offer assistance. This measure will do nothing to help that position. In fact, it will make matters worse.","RIGHTS","Labour Party","ECONOMIC","1.0000","Conservative Party"
"Businesses will gain too, where this boosts workforce participation and helps employers to fill vacancies. ","ECONOMIC","Labour Party","ECONOMIC","0.9999","University of Cambridge"
"a very high percentage of people who are trade union representatives and members are extremely concerned about this Bill�s possible infringement  of their right and freedom to assemble, which is guaranteed by article 11 of the European convention on human rights.","AUTONOMY","Independent (Unionist)","LEGAL","1.0000","Scottish National Party"
" Does he agree that the Bill is anti-business and anti-working practice and that most employers that have trade unions recognise their value?","RELATE","Labour Party","JUST","0.9831","Labour Party"
"New clause 84 and amendment 284 rightly demand that the Secretary of State assess the impact of clause 7 before it comes into force. Rushed policymaking will not help workers or businesses, it will create uncertainty and drive investment away.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"It will enable those regulations to apply to section 49 of the National Minimum Wage Act 1998 in order to prevent employers from trying to contract out of their new record keeping obligations.","DETER","Labour Party","RIGHTS","1.0000","Labour Party"
"On new clauses 89 and 90, almost everything this Government have done is contradictory to the objective of growth, if that remains their objective this week. Whether it is the national insurance jobs tax, the changes to business rates or this Bill, everything they do seemingly goes against growing the economy.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"However, the right to withdraw labour as a last resort is a fundamental human right and a hallmark of any free and democratic society. It is safeguarded by a wide range of international treaties, including the European social charter and the European convention on human rights.
","RIGHTS","Scottish National Party","LEGAL","1.0000","Scottish National Party"
"Unison and GMB told me that they limited strike action to six or 12 hours instead of 24 hours, that there were procedures for bringing workers back from the picket line if they were needed on the ward, and that they monitored call volumes in real time to ensure that patients were kept safe.","COLLECT","Labour","BALANC","1.0000","Conservative Party"
"they are clear that having those policies in place to support caring is not only good for the employees, but makes them better employees for the employer. The employers really benefit from having members of staff who support them and are also able to do the best for their families.","RELATE","Liberal Democrats","RELATE","0.8670","Labour Party"
"and, perhaps more to the point, who will pay for the use of that financial intermediary? Will the cost fall on the debtor and be greater than the current system of court fees?","ECONOMIC","Labour Party","ECONOMIC","0.9990","Labour Party"
" How can unions offer independent workplace representation to people who desperately need their help if they are tied to the Labour party by funding it automatically?","AUTONOMY","Conservative Party","ADEQ","0.8646","Conservative Party"
"Only if they fail to do so could they face civil action in court.","RIGHTS","Conservatives","RIGHTS","1.0000","Labour Party"
" We are also concerned with the new proposals on picketing and providing names. Such measures can only result in a new blacklist. Anyone who is a picket might as well wear two armbands��union picket� on one arm and �blacklist me� on the other. That sets a very dangerous precedent.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Labour Party"
"Despite what some Members assert, the daily business of unions is not taken up with organising industrial action. They represent their members in many ways, ensuring healthy and safe workplaces, delivering learning opportunities and bargaining collectively to ensure that pay keeps pace with the cost of living, the benefits of which are also experienced by non-union members.","COLLECTIVE","Scottish National Party","BALANC","1.0000","Conservative Party"
"It is right that the Bill brings in protection for hard-working people who want proper workplace representation rather than just a cash cow to be milked by union leaders for their own political game.","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"Every single small business that I have talked to in my constituency is very concerned about the measures in this—","ECONOMIC","Conservative Party","BALANC","0.9999","Conservative Party"
"This Bill undermines a number of basic, fundamental human rights.","AUTONOMY","Scottish National Party","AUTONOMY","0.9999","Labour Party"
"Let us make no mistake about it, the purpose of requiring union members to opt in to political funds is to attack and damage the finances of the Labour party so as to make the Conservative party�s financial advantage even greater than it already is. If this Bill passes, it would break a long-standing consensus in British politics that the Government should not introduce partisan legislation unfairly to disadvantage other political parties.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"As many of my colleagues have touched on the specific impact on industrial relations, I wish to talk about some of the wider ramifications of this legislation, in particular its impact on an issue that is close to my own heart�the vital work of challenging political extremism in British society and the role that the trade union movement has played, and continues to play, in that.","POLIT","Labour Party","POLIT","0.9869","Scottish National Party"
"The hon. Lady might say that, but recent analysis shows that in the past four years, 3 million days have been lost to strike action. I am not content with the impact of that on my constituents. Hertsmere is close to London, and when there is a tube strike or a  train strike, my constituents are massively adversely affected.","ECONOMIC","Conservative Party","BALANC","1.0000","Conservative Party"
"As my hon. Friend said, a two-year-old mandate is unlikely to reflect the latest negotiations and would fail to reflect changes in the workforce. To ensure that any industrial action is based on a current mandate from current members, the Bill provides a four-month validity period after a ballot result is announced.","RIGHTS","Conservative Party","REPLIC","1.0000","Conservative Party"
"The Government pretend that commuters in Ilford North and across London will no longer be affected by tube strikes, but the transport unions do meet the threshold, so this is not an attack on tube drivers going on strike, it is an attack on midwives, dinnerladies and other low-paid public sector workers who have the temerity to take on this Government.","POLIT","Labour Party","BALANC","1.0000","Labour Party"
"I absolutely agree with my hon. Friend. In fact, many of the issues raised could be dealt with through general legislation rather than a specific trade union Bill.","CREATE","Scottish National Party","ADEQ","0.9956","Conservative Party"
"The age-old entitlement of lawyers to observe client confidentiality is threatened by the Bill, which puts trade union membership on a par with the activities of criminals and terrorists. Whatever happened to privacy and confidentiality?","COLLECTIVE","Labour Party","JUST","1.0000","Labour Party"
"I am interested in seeing improvements to trade union rights in this country. Many colleagues have mentioned e-balloting. If we want more people to participate in a ballot, we should make it easier for them to do so.
","REPLIC","Labour Party","","1.0000","Labour Party"
"A poll by the Federation of Small Businesses found that last year�s strike action on the London underground cost about �600 million in lost hours, lost business, and lost productivity. Across Britain this year, we have again seen the shut-down of the London underground, strikes on ferries in western Scotland, strikes on trains on the First Great Western network, and strikes on buses in Cardiff, with future strikes potentially affecting the rugby world cup.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"The Government sell themselves as being interested in productivity and business, but these proposals run entirely contrary to that ethos. The Bill introduces unnecessary new and complex bureaucracy: it will increase costs for unions and employers, as legal disputes develop, and it undermines social justice.","AUTONOMY","Scottish National Party","ECONOMIC","1.0000","Scottish National Party"
"The legislation will allow regulations to be made to ensure that specified services cannot shut down completely when workers strike. That is to maintain crucial and, in many cases, life-saving services.","PHYSICAL","Conservative Party","RIGHTS","1.0000","Conservatives"
"It also shows an astonishing level of incompetence to bring in legislation that potentially allows them to sack essential workers in vital sectors where there is already a shortage of skilled workers.","POWER","Scottish National Party","ECONOMIC","0.9995","Labour Party"
"Boosting wages will increase workforce participation, helping employers fill vacancies and supporting us to reach our ambition of 80% employment.","ECONOMIC","UK Government","ECONOMIC","1.0000","Scottish National Party"
" These changes are entirely consistent with that. We are saying that if someone is a union member, they should know that some of their money is going towards political purposes. It should be open and transparent. That is not the case in England, Scotland and Wales. It is the case in Northern Ireland. If it works in Northern Ireland, it can work in the rest of the United Kingdom.
","COMPAR","Conservative Party","COMPAR","1.0000","Conservative Party"
"E-balloting is accepted for the first stages of the election for the Conservative party mayoral candidate�it is secure enough for that�and for secure workplace balloting on recognition agreements, which is enshrined in legislation, but e-balloting is not accepted in the Bill.","REPLIC","Labour Party","ADEQ","1.0000","Labour Party"
"My hon. Friend the Member for Stafford (Jeremy Lefroy) raised the question of e-balloting, and he is right that there is no in-principle objection to the idea of voting online. The objection is practical. In January 2015, the Open Rights Group�I think that it believes in open rights�gave evidence to your Commission on Digital Democracy, Mr Speaker, in which it said:

�Voting is a uniquely difficult question for computer science: the system must verify your eligibility to vote, know whether you have already voted, and allow for audits and recounts. Yet it must always preserve your anonymity and privacy. Currently, there are no practical solutions to this highly complex problem and existing systems are unacceptably flawed.�

If the Opposition can find a practical solution, I look forward to hearing it.","REPLIC","Conservative Party","RIGHTS","1.0000","Parliament"
"Before I was so rudely interrupted, I was just about to say that the Bill rides roughshod over that right. It threatens the basic options that those at work have to safeguard their pay and conditions by standing together to win improvements. Liberty, Amnesty and the British Institute of Human Rights have all said that the Bill�s purpose is to

�undermine the rights of all working people�

and amounts to a

�major attack on civil liberties in the UK.�","AUTONOMY","Labour Party","AUTONOMY","0.9999","Labour Party"
"Given the worrying situation that far too many people sadly find themselves in with rising personal debt, why are the savings not greater?","ECONOMIC","Labour Party","RELATE","0.9977","Conservatives"
"When even Conservative Members are referring to the Bill as �Franco-style�, we have to recognise that there is something seriously wrong.","JUST","Scottish National Party","JUST","0.9996","Labour Party"
"The SNP strongly opposes the proposed reforms, because they will erode democracy in the workplace. The Bill would restrict the power of devolved Administrations, local governments and other public bodies to determine their own industrial relations.","AUTONOMY","Scottish National Party","REPLIC","0.9959","Scottish National Party"
"We accept that there are gaps between the modern slavery network enforcement processes and current employment rights enforcement. We are working with the Home Office and the GLAA to improve that.","ENFORCE","Labour Party","ENFORCE","1.0000","Labour Party"
"Clauses 7 and 8 extend the notice requirements for any industrial actions and restrict the effect of any ballot for strike action to four months. These clauses are designed to narrow the effectiveness of any industrial action, even if it has reached the much higher requirements of turnout and support required for clauses 2 and 3. There is no sign of any evidence that could justify these changes and no sign of a clamour for employers to change the existing system.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
" The Prime Minister has hailed that as “the latest step” in the Government’s attempt to “kick-start economic growth”, though the amendments we are discussing do the very opposite.","ECONOMIC","Conservative Party","JUST","0.9929","Labour Party"
" The process will be cheaper than going through the courts—I believe it will be £50 cheaper—so why is the saving so small and not greater?","COURTS","Labour Party","RIGHTS","1.0000","Conservative Party"
" There is no transparency around how much time they spend on union work and no controls in place to ensure that the taxpayer is getting value for money. It is a situation that most ordinary Britons, including many dedicated public servants I have spoken to, find absolutely baffling. That is why civil service Departments are already required to publish information about the use of facility time by their staff. The Bill allows the Government to make regulations extending that to all public sector employers. It will include information about an employer�s spending on trade union duties and activities and about how many of its union representatives spend a specified percentage of their time on their union role. We have already made considerable savings for the taxpayer by requiring Departments to publish this information, as we have just heard from my hon. Friend the Member for Wells (James Heappey). However, if transparency alone  does not lead to further savings, the Bill also grants Ministers the power to set a cap on the time and money spent on facility time.","ECONOMIC","Conservative Party","RIGHTS","1.0000","Conservative Party"
"The Bill is absolutely wrong. I can think of no other way to put it. The Government need to take a step back, listen to the contributions of Opposition Members, think again and introduce something completely different that respects and moves the trade union movement forward, rather than using a sledgehammer to shut it down.
","REPLIC","Scottish National Party","RELATE","1.0000","Conservative Party"
"The truth is that the number of days lost to strike action now is less than one tenth of what it was in the 1980s. Of far greater importance to the state of the economy is the chronic underinvestment in skills. This Bill, while obnoxious, is utterly irrelevant to the key problems of this country. The tube workers aside, only teachers and firefighters have caused any real national concern since 2010, and even they normally did so only one day at a time. Even the resistance of the National Union of Rail, Maritime and Transport Workers to plans for keeping the underground open all night are not that unreasonable. Night shifts are unsociable, unhealthy and potentially dangerous as they lead to over-tiredness. But the central point here is not acknowledged in the Bill. The Government seem to believe that whenever a strike occurs, it is always the fault of the workers irrespective of what the employer has done.","RELATE","Labour Party","RELATE","1.0000","Conservative Party"
"If we want a more productive economy, the Government would do better to make investment in skills and technology a priority, rather than weakening the role of trade unions.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"Finally, to introduce the Bill on today of all days is a slap in the face that treats working people with contempt. This is arrogance that knows no bounds from a Government that are once again treating working people and trade unions as the enemy within.","POLIT","Labour Party","JUST","1.0000","Scottish National Party"
"At the end of the day, the Government have a responsibility to ensure that certain levels of service are provided in key sectors and in our public services, and rightly so.","JUST","Conservatives","RIGHTS","0.9993","Conservatives"
"I am sure my hon. Friend is aware that the TUC estimates that union workplace representatives contribute to overall productivity gains that are worth between �4 billion and �12 billion. Does she agree that measures that have had such a positive effect on productivity should be welcomed and, indeed, promoted?","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"A fundamental principle is at stake in this Bill, which is the ability of working people to combine in the trade union movement for their collective benefit�a combining together that has brought higher wages, better working conditions and enhanced rights at work.","ACCESS","Labour Party","ADEQ","1.0000","Labour Party"
"There are also the businesses throughout the land whose sales and productivity are suffering. They are terrified that, at a time of high inflation, their livelihoods are at risk along with those of their employees.
","ECONOMIC","Conservative Party","JUST","0.9512","Conservative Party"
"Those regulations will be tailored to each relevant service, taking account of the different risks to public safety or the impacts on daily life and on the economy.","BALANC","Conservatives","CREATE","1.0000","Conservatives"
"Lutonians have written to me concerned about the plans to restrict their right to strike not just for themselves, but for the services they rely on.","JUST","Labour","POLIT","0.8214","Conservative Party"
"It cannot be right that, in the 21st century, our great country and our economy are put at risk by strike action.","ECONOMIC","Conservatives","REPLIC","0.7228","Labour Party"
"The Government are on a mission to take power from the people, with restrictions on the right to protest, restrictions on democracy with voter ID, the removal of huge chunks of human rights through their Retained EU Law (Revocation and Reform) Bill—that will scrap more than 4,000 pieces of legislation, many of which cover the basic rights of people in this country—and now this disgraceful attempt to criminalise workers taking legitimate industrial action.","JUST","Labour","JUST","0.9997","Labour Party"
"It seems clear that paid carer’s leave helps carers and those they care for, and it is good for our economy.","ECONOMIC","Liberal Democrats","ECONOMIC","0.9982","Liberal Democrats"
"He seems to be arguing that just because there are times of danger, we ought, by design, to enable a system that prevents unions in the ambulance service from telling the NHS when ambulances will be there and what the minimum service would be. That is the issue that we seek to address today.","PHYSICAL","Conservative Party","ADEQ","0.9941","Conservative Party"
"For the first time, the certification officer will have the ability to impose financial penalties on unions that do not comply with statutory requirements�the very requirements that Parliament has deemed necessary. The Bill passes the cost of that regulation on to the unions. That is entirely in line with modern best practice. It is why banks fund the Financial Conduct Authority and why utility regulators are paid for by utility firms.","COMPL","Conservative Party","REPLIC","0.9999","Labour Party"
"Furthermore, since 2008 there have been 26 strikes on the London underground�I am a London MP, and I have lived in this city all my life. Anyone who claims that the National Union of Rail, Maritime and Transport Workers does not strike lightly has not tried to travel in this city during one of those 26 strikes. I point out that 19 of those strikes would not have happened under this legislation.","ADEQ","Conservative Party","ECONOMIC","0.9841","Conservative Party"
"To those who say that we politicians have no cause to set thresholds, let me remind you that in America, the land of the free, 39 states have banned strikes by mass transit workers.
","COMPAR","Conservative Party","RIGHTS","0.8643","Conservative Party"
" As things stand, that is not always the case. Union leaders can secure a mandate for industrial action and then keep using it for as long as they please. For example, in October 2013 the NASUWT justified a walk-out by citing a mandate acquired in November 2011, almost two years earlier. That is hardly a constructive approach to industrial relations","RELATE","Conservative Party","RELATE","0.9521","Conservative Party"
"Clearly, if we were to meet all the inflation busting demands of the unions, that would make life harder not only for some but for every single family in this country.","ECONOMIC","Conservatives","JUST","1.0000","Conservative Party"
"There is a huge economic case for retaining the current arrangements.","ADEQ","Labour Party","ECONOMIC","0.9997","Conservative Party"
"I turn to amendment 286 and new clause 86 on unfair dismissal and business confidence. The Government’s proposal to grant employees the right to claim unfair dismissal from day one is another reckless intervention, and one that is raised with me by small businesses day in, day out.","ECONOMIC","Conservative Party","ADEQ","0.7034","Conservative Party"
"In typically cynical and dishonest fashion, they cloak the Bill in the claim of protecting the public when in fact it does the opposite: it makes families and ordinary people much more insecure by taking away one of the few avenues of protection they have in their economic and working lives.","POWER","Labour Party","POLIT","0.9200","Conservative Party"
" This Bill, like so many others, rips up the constitution in favour of a naked political attack. It is an attack on the ability of trade unions and their members to have a say in politics, just at the time when it has never been more important that working people have a voice.
","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.","RIGHTS","Conservative Party","REPLIC","0.9126","Labour Party"
"The Bill will ensure that we protect the ability of workers to take industrial action","RIGHTS","Conservative Party","BALANC","0.9877","Labour Party"
"It seems clear to me that, in putting forward this Bill, the Government fail to understand the value of trade unions� contribution to working practices, health and safety, productivity and the economy. The Government say that the aims of this Bill are to enable the UK to pursue an ambition to become the most prosperous major economy in the world by 2030, and to ensure that hard-working people are not disrupted by strike action.  I believe that, far from delivering those aims, the Bill is likely to work against them.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"If this is such a fair and reasonable Bill, why does the right hon. Gentleman�s predecessor, Vince Cable, say that it is both �vindictive� and �unnecessary�?","JUST","Labour and Co-Operative Party","AUTONOMY","0.9966","Scottish National Party"
"Individually and cumulatively, these proposals will fundamentally damage the capacity of unions to organise strikes. Many of these are not needed, but having the right to go on strike is an important tool on the table when you are sat down negotiating on behalf of members.","ACCESS","Labour Party","RELATE","0.9020","Labour Party"
"I would also welcome any clarity the Minister can provide around how he intends to escape the inevitable confusion arising when attempting to ballot a workplace where some occupations are covered by the �important public services� provisions and others are not. Will the Minister give further details on the requirement for �reasonably detailed� information to be provided on ballot papers? If a failure to provide such information is to be a basis for legal action by employers against workers taking industrial action, it is crucial that the House should be informed in advance of how �reasonably detailed� is to be defined","ADEQ","Labour Party","REPLIC","1.0000","Conservative Party"
"As a trade unionist, I knew that taking strike action was a last resort, and not one that any of us wanted to take, but when all else fails, that is what is left. Without it, the bad bosses would not want to negotiate in the first place.","COLLECTIVE","Labour Party","RIGHTS","1.0000","Conservative Party"
"Does she agree that the Government�s proposals are a threat to the security of our country because they threaten democracy?","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"Given the urgent necessity to promote growth, surely the acid test of a Bill such as this is whether it will actually make it more attractive for entrepreneurs to create jobs.","ECONOMIC","Conservatives","ECONOMIC","1.0000","Conservative Party"
"This brings the provision in line with other changes to unfair dismissal.","LEGAL","Labour Party","ADEQ","0.9562","Labour Party"
"It is certainly not an attack on public sector workers, and suggestions otherwise from Labour Members are both disgusting and an attempt to stifle genuine debate.","JUST","Conservatives","POLIT","0.9996","Conservative Party"
"The Bill aims to make it more difficult to take industrial action by forcing unions to give further notice before striking, introducing even higher thresholds for successful strike ballots and further restricting the right to picket. I note from elsewhere�this is critical to how the Bill will work�that the Government are minded to allow employers to bring in agency workers in the event of a strike. They are consulting on that currently. The Bill will undermine facility time, which will reduce the ability of union officials to represent their members at work.
","ACCESS","Plaid Cymru","REPLIC","1.0000","Labour Party"
"but it is a fact that when strikes are on and ambulances are unable to find out from their unions whether they will operate, that is an additional concern for members of the public—including Opposition Members’ constituents, whom they seem rather not to care about in this case.","JUST","Conservative Party","ADEQ","0.8562","Conservative Party"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation","RIGHTS","Labour Party","RIGHTS","0.9966","Labour Party"
"This is the Prime Minister who gags civil society, presiding over a Government who would have police officers taking the names of people on the picket lines when they should be out arresting criminals.","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"The Bill is part of the Government’s plan to restrict all our rights and to demonise and criminalise those who are just trying to survive.","JUST","Labour","AUTONOMY","0.9982","Labour Party"
"During recent strike action by the ambulance service—this has been referred to a couple of times, and I want to read it out because it is written down—the NHS has not been reassured by the relevant union that it can rely on the current system of voluntary local derogation, which I think is what the hon. Member for York Central was talking about earlier. It could not rely on those arrangements to ensure that patient and public services were provided.","ADEQ","Conservative Party","BALANC","1.0000","Conservative Party"
"This Bill seeks to refashion that framework into a set of shackles, leaving unions unable to perform the functions for which they exist.","AUTONOMY","Labour Party","ADEQ","0.9998","Labour Party"
"Strikes are a symptom of poor industrial relations, not a cause.","RELATE","Labour Party","RELATE","0.9929","Labour Party"
"They recognise the positive contributions of unions to performance, improvement and innovation in the workplace, and they decry the Government�s proposals as undermining the ability of unions to protect terms and conditions, and leading to the loss of employee voice.","AUTONOMY","Scottish National Party","RELATE","1.0000","Scottish National Party"
"On the claim of minimum safety levels across Europe, is the Secretary of State aware that, according to the OECD, France lost, on average, 112 days per 1,000 workers between 2008 and 2018? Spain lost 76 strike days, and Italy lost 42. Yet the UK lost only 20 strike days.","COMPAR","Labour and Co-op","ECONOMIC","1.0000","Conservatives"
"But the Bill is not done with offending principles of natural justice. The cumulative impact of the new proposals would mean that the certification officer was responsible for making a complaint, investigating it, reaching a decision, and setting a punishment.","JUST","Labour Party","REPLIC","0.9995","Conservative Party"
"Under this legislation, all of that work is under threat. That is compounded by the horrendous gagging Act, and the resultant chill factor is unacceptable. Clause 10 would place severe restrictions on trade unions� ability to raise and maintain their political funds, because every restriction placed on trade union support for the Labour party applies equally to the wider community campaigns that the movement undertakes.
","POLIT","Labour Party","AUTONOMY","1.0000","Labour Party"
"The UK is wages-led: it is wages, not profits, that drive growth in our economy. If profit shares go up, as has been the case for the past four decades, demand actually decreases. A 1% increase in the profit share leads to a 0.13% decrease in demand, which is a loss of �2.21 billion to the economy at today�s levels.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"Does he agree with me, as a former teacher myself, that removing fire and rehire will give the young people that he used to teach the confidence that when they go into the workplace, they will look at careers and not just jobs?
","JUST","Labour Party","CREATE","1.0000","Conservative Party"
